Material,Time lapse,First Derivative
38-1482-03,363.964453,-0.11999760004811434
38-1482-03,363.98112,-0.17999640007217818
38-1482-03,363.997786,0.12000480019169552
38-1482-03,364.014453,0.11999760004811434
38-1482-03,364.03112,0.0
38-1482-03,364.047786,-0.060002400096045745
38-1482-03,364.064453,0.05999880002384588
38-1482-03,364.08112,0.0
38-1482-03,364.097786,0.0
38-1482-03,364.114453,-0.05999880002384588
38-1482-03,364.13112,0.0
38-1482-03,364.147786,0.0
38-1482-03,364.164714,0.0
38-1482-03,364.18138,0.060002400096045745
38-1482-03,364.198047,0.05999880002406383
38-1482-03,364.214714,-0.11999760004770509
38-1482-03,364.23138,0.0
38-1482-03,364.248047,0.0
38-1482-03,364.264714,-0.059998800023859204
38-1482-03,364.28138,0.06000240009605907
38-1482-03,364.298047,0.05999880002405051
38-1482-03,364.314714,0.05999880002406383
38-1482-03,364.33138,-0.06000240009585442
38-1482-03,364.348047,-0.05999880002405051
38-1482-03,364.364714,0.05999880002405051
38-1482-03,364.38138,0.06000240009605907
38-1482-03,364.398047,0.0
38-1482-03,364.414714,0.05999880002405051
38-1482-03,364.431673,-0.05896574090457757
38-1482-03,364.44834,0.0
38-1482-03,364.465007,-0.059998800023859204
38-1482-03,364.481673,-0.060002400096045745
38-1482-03,364.49834,0.11999760004811434
38-1482-03,364.515007,0.0
38-1482-03,364.531673,0.0
38-1482-03,364.54834,0.05999880002405051
38-1482-03,364.565007,-0.05999880002405051
38-1482-03,364.581673,-0.06000240009585442
38-1482-03,364.59834,0.11999760004811434
38-1482-03,364.615007,0.0
38-1482-03,364.631673,0.0
38-1482-03,364.64834,-0.11999760004770509
38-1482-03,364.665007,0.0
38-1482-03,364.681673,0.0
38-1482-03,364.6986,0.05907721391856441
38-1482-03,364.715267,0.0
38-1482-03,364.731934,-0.059998800023859204
38-1482-03,364.7486,0.12000480019210481
38-1482-03,364.765267,0.0
38-1482-03,364.781934,-0.05999880002405051
38-1482-03,364.7986,0.0
38-1482-03,364.815267,0.0
38-1482-03,364.831934,0.0
38-1482-03,364.8486,0.060002400096045745
38-1482-03,364.865267,0.11999760004770509
38-1482-03,364.881934,-0.35999280014434304
38-1482-03,364.8986,0.24000960038420963
38-1482-03,364.915267,0.0
38-1482-03,364.931934,0.059998800023859204
38-1482-03,364.9486,0.0
38-1482-03,364.96556,0.0
